GeneName,URL
AT1G24360,HTTPS://biocyc.org/gene?orgid=META&id=AT1G24360
FOX1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G26380
GALT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G26810
GSTU13,HTTPS://biocyc.org/gene?orgid=META&id=AT1G27130
APT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G27450
At1G27980,HTTPS://biocyc.org/gene?orgid=META&id=AT1G27980
GH3.17,HTTPS://biocyc.org/gene?orgid=META&id=AT1G28130
GA2ox2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G30040
UGT78D1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G30530
MUR4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G30620
AT1G31190,HTTPS://biocyc.org/gene?orgid=META&id=AT1G31190
LUT5,HTTPS://biocyc.org/gene?orgid=META&id=AT1G31800
At-IE,HTTPS://biocyc.org/gene?orgid=META&id=AT1G31860
PRK,HTTPS://biocyc.org/gene?orgid=META&id=AT1G32060
ATS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G32200
GBSS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G32900
IP5P1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G34120
ACC1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G36160
NIA2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G37130
FINS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G43670
AtSDC,HTTPS://biocyc.org/gene?orgid=META&id=AT1G43710
ILL6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G44350
CAO,HTTPS://biocyc.org/gene?orgid=META&id=AT1G44446
psbS,HTTPS://biocyc.org/gene?orgid=META&id=AT1G44575
at1g47260,HTTPS://biocyc.org/gene?orgid=META&id=AT1G47260
3&beta;-HSD/D1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G47290
SDH5,HTTPS://biocyc.org/gene?orgid=META&id=AT1G47420
5PTase11,HTTPS://biocyc.org/gene?orgid=META&id=AT1G47510
DPMS3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G48140
DHNAT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G48320
at1g49140,HTTPS://biocyc.org/gene?orgid=META&id=AT1G49140
LACS2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G49430
GGPS6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G49530
FUT12,HTTPS://biocyc.org/gene?orgid=META&id=AT1G49710
DWF5,HTTPS://biocyc.org/gene?orgid=META&id=AT1G50430
THFS,HTTPS://biocyc.org/gene?orgid=META&id=AT1G50480
GA2ox7,HTTPS://biocyc.org/gene?orgid=META&id=AT1G50960
4CL1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G51680
MPPA1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G51980
ABA2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G52340
BG1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G52400
AT1G53240,HTTPS://biocyc.org/gene?orgid=META&id=AT1G53240
RHM2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G53500
ESP,HTTPS://biocyc.org/gene?orgid=META&id=AT1G54040
ChlADR,HTTPS://biocyc.org/gene?orgid=META&id=AT1G54870
PsaG,HTTPS://biocyc.org/gene?orgid=META&id=AT1G55670
SAT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G55920
AT1G57750,HTTPS://biocyc.org/gene?orgid=META&id=AT1G57750
AtATP-PRT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G58080
HEMA1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G58290
HO4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G58300
At1g58360,HTTPS://biocyc.org/gene?orgid=META&id=AT1G58360
SQE1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G58440
GH3.4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G59500
AtPANK1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G60440
ABC4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G60600
GA20ox4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G60980
GES,HTTPS://biocyc.org/gene?orgid=META&id=AT1G61120
<i>AtBAN</i>,HTTPS://biocyc.org/gene?orgid=META&id=AT1G61720
At1g62180,HTTPS://biocyc.org/gene?orgid=META&id=AT1G62180
AT1G62430,HTTPS://biocyc.org/gene?orgid=META&id=AT1G62430
GS-OX2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G62540
GS-OX3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G62560
GS-OX4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G62570
ACOS5,HTTPS://biocyc.org/gene?orgid=META&id=AT1G62940
UER1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G63000
IspF,HTTPS://biocyc.org/gene?orgid=META&id=AT1G63970
LACS3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G64400
AT1G64660,HTTPS://biocyc.org/gene?orgid=META&id=AT1G64660
4CL3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65060
ECI1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65520
PAO4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65840
GS-OX1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65860
AT1G65880,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65880
cICDH,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65930
GAD2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65960
PRXIIB,HTTPS://biocyc.org/gene?orgid=META&id=AT1G65980
GLN1;2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G66200
BGLU21,HTTPS://biocyc.org/gene?orgid=META&id=AT1G66270
BGLU22,HTTPS://biocyc.org/gene?orgid=META&id=AT1G66280
AT1G67070,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67070
RBCS-1A,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67090
CYP735A2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67110
KCR1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67730
psbY,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67740
FXG1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67830
TSM1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G67990
AtPIS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68000
HPR1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68010
IPT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68460
CER6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68530
TKPR2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68540
NUDT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68760
PHYLLO,HTTPS://biocyc.org/gene?orgid=META&id=AT1G68890
CM3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G69370
CYP704B1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G69500
SBH1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G69640
HO3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G69720
TAA1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G70560
AOAT2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G70580
HGPT,HTTPS://biocyc.org/gene?orgid=META&id=AT1G71750
SUC1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G71880
DNK,HTTPS://biocyc.org/gene?orgid=META&id=AT1G72040
HTH,HTTPS://biocyc.org/gene?orgid=META&id=AT1G72970
GER1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G73250
SUS6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G73370
SOT18,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74090
SOT16,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74100
DPMS2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74340
XXT5,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74380
CHLP,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74470
At1G74540,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74540
ICS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G74710
OTC,HTTPS://biocyc.org/gene?orgid=META&id=AT1G75330
SMT3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G76090
PPD3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G76450
HMG1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G76490
OPR1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G76680
PPD4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G77090
LACS9,HTTPS://biocyc.org/gene?orgid=META&id=AT1G77590
NIA1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G77760
GSTU19,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78380
NCED9,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78390
GA2ox1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78440
PEN6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78500
SPS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78510
RHM1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78570
NADK3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78590
CAMS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78955
LUP2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78960
LUP1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G78970
TYKY,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79010
psbR,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79040
SSADH1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79440
KS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79460
kdsA1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79500
HPR2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79870
at1g79900,HTTPS://biocyc.org/gene?orgid=META&id=AT1G79900
COXVb,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80230
NTT1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80300
GA3ox4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80330
GA3ox2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80340
ISS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80360
GLYK,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80380
At1g80460,HTTPS://biocyc.org/gene?orgid=META&id=AT1G80460
LPP1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G01180
At2g01350,HTTPS://biocyc.org/gene?orgid=META&id=AT2G01350
at2g02050,HTTPS://biocyc.org/gene?orgid=META&id=AT2G02050
MCT,HTTPS://biocyc.org/gene?orgid=META&id=AT2G02500
FUT1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G03220
AT2G03760,HTTPS://biocyc.org/gene?orgid=META&id=AT2G03760
LACS8,HTTPS://biocyc.org/gene?orgid=META&id=AT2G04350
AT2G04450,HTTPS://biocyc.org/gene?orgid=META&id=AT2G04450
AT2G04540,HTTPS://biocyc.org/gene?orgid=META&id=AT2G04540
MTI1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G05830
OPR3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G06050
AtsPLA2-alpha,HTTPS://biocyc.org/gene?orgid=META&id=AT2G06925
CAS1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G07050
MT-CYB,HTTPS://biocyc.org/gene?orgid=META&id=AT2G07727
MGD3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G11810
ALD1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G13810
AKN1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G14750
SOT10,HTTPS://biocyc.org/gene?orgid=META&id=AT2G14920
<i>UGT73B5</i>,HTTPS://biocyc.org/gene?orgid=META&id=AT2G15480
<i>UGT73B4</i>,HTTPS://biocyc.org/gene?orgid=META&id=AT2G15490
IDH-II,HTTPS://biocyc.org/gene?orgid=META&id=AT2G17130
AtCoaD,HTTPS://biocyc.org/gene?orgid=META&id=AT2G18250
GGPS4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G18640
HPT1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G18950
SHT,HTTPS://biocyc.org/gene?orgid=META&id=AT2G19070
CKX2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G19500
CDA1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G19570
MIOX2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G19800
HXK2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G19860
at2g20360,HTTPS://biocyc.org/gene?orgid=META&id=AT2G20360
KAM1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G20370
SUR1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G20610
AT2G20690,HTTPS://biocyc.org/gene?orgid=META&id=AT2G20690
RNR1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G21790
SK1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G21940
CYP79B3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G22330
AT2G22780,HTTPS://biocyc.org/gene?orgid=META&id=AT2G22780
ACS4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G22810
AT2G22980,HTTPS://biocyc.org/gene?orgid=META&id=AT2G22980
SNG1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G22990
AT2G23000,HTTPS://biocyc.org/gene?orgid=META&id=AT2G23000
AT2G23010,HTTPS://biocyc.org/gene?orgid=META&id=AT2G23010
GH3.3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G23170
UGT84B2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G23250
UGT84B1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G23260
GGPS2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G23800
SDR2b,HTTPS://biocyc.org/gene?orgid=META&id=AT2G24190
TPS10,HTTPS://biocyc.org/gene?orgid=META&id=AT2G24210
NP-GAPDH,HTTPS://biocyc.org/gene?orgid=META&id=AT2G24270
GSL-OH,HTTPS://biocyc.org/gene?orgid=META&id=AT2G25450
HCS1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G25710
3&beta;-HSD/D2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G26260
AT2G26540,HTTPS://biocyc.org/gene?orgid=META&id=AT2G26540
HO1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G26670
CYP734A1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G26710
AAO3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27150
PAP12,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27190
AtCoaE,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27490
CYP94C1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27690
at2g27730,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27730
IPT2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27760
AXS1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G27860
FUC1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G28100
CSD2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G28190
PPD2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G28605
psbX,HTTPS://biocyc.org/gene?orgid=META&id=AT2G28800
ADCS,HTTPS://biocyc.org/gene?orgid=META&id=AT2G28880
CYP707A2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G29090
SMO2-1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G29390
THIC,HTTPS://biocyc.org/gene?orgid=META&id=AT2G29630
FAD3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G29980
CYP73A5,HTTPS://biocyc.org/gene?orgid=META&id=AT2G30490
psbW,HTTPS://biocyc.org/gene?orgid=META&id=AT2G30570
CYP71A12,HTTPS://biocyc.org/gene?orgid=META&id=AT2G30750
CYP71A13,HTTPS://biocyc.org/gene?orgid=META&id=AT2G30770
ADS2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G31360
at2g31490,HTTPS://biocyc.org/gene?orgid=META&id=AT2G31490
5PTase14,HTTPS://biocyc.org/gene?orgid=META&id=AT2G31830
Cnx2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G31955
5PTase7,HTTPS://biocyc.org/gene?orgid=META&id=AT2G32010
KAO2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G32440
NSP2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G33070
PED1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G33150
at2g33220,HTTPS://biocyc.org/gene?orgid=META&id=AT2G33220
CYP710A2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G34490
CYP710A1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G34500
GA2ox3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G34555
GPPS,HTTPS://biocyc.org/gene?orgid=META&id=AT2G34630
FAH1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G34770
AT2G35020.1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G35020
AT2G35120,HTTPS://biocyc.org/gene?orgid=META&id=AT2G35120
AT2G35370,HTTPS://biocyc.org/gene?orgid=META&id=AT2G35370
HISN3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G36230
NSH1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G36310
LOC2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G36530
UGT73C1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G36750
<i>UGT73C6</i>,HTTPS://biocyc.org/gene?orgid=META&id=AT2G36790
UGT73C5,HTTPS://biocyc.org/gene?orgid=META&id=AT2G36800
PAL1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G37040
AKR4C8,HTTPS://biocyc.org/gene?orgid=META&id=AT2G37760
AKR4C9,HTTPS://biocyc.org/gene?orgid=META&id=AT2G37770
At2G37940,HTTPS://biocyc.org/gene?orgid=META&id=AT2G37940
CAC3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G38040
DET2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G38050
LAC4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G38080
PDX11,HTTPS://biocyc.org/gene?orgid=META&id=AT2G38230
AT2G38670,HTTPS://biocyc.org/gene?orgid=META&id=AT2G38670
MVD1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G38700
NATA1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39030
AMK6,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39270
PGPS1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39290
GGB,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39550
